gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
1.0,0.0,7482,0.0,236.47125244140625,0.35027313232421875,0.005217439495027065,-0.023602133616805077,0.06021232157945633,0.05411883443593979,0.22729487717151642,0.22483330965042114,21.7689151763916,22.423315048217773,22.763219833374023,22.8629207611084,71.71294403076172,77.98577880859375,81.24398803710938,82.19966125488281,26.0,36.0,0.0008643181063234806,1:04:776,0.3114323318004608,0.0,-168.0,neutral
1.0,0.0,7509,0.0,237.86871337890625,0.348168283700943,0.008296642452478409,-0.010677628219127655,0.05885305628180504,0.05402568727731705,0.20808041095733643,0.20581424236297607,21.768774032592773,22.42768669128418,22.765893936157227,22.866056442260742,71.71160888671875,78.02767944335938,81.26958465576172,82.22969818115234,26.0,36.0,0.0020712700206786394,1:04:875,0.3126772344112396,0.0,-168.0,neutral
1.0,0.0,7560,0.0,239.17507934570312,0.2918321192264557,0.0384739451110363,-0.2271142601966858,0.06261210888624191,0.05210977420210838,0.2198135107755661,0.2179177850484848,21.768413543701172,22.431652069091797,22.76839828491211,22.869037628173828,71.7081527709961,78.06571197509766,81.29360961914062,82.25830841064453,26.0,36.0,0.004157085902988911,1:04:977,0.3139664828777313,0.0,-168.0,neutral
1.0,0.0,7574,0.0,240.519775390625,0.4278871715068817,0.012099961750209332,0.19403186440467834,0.0575803704559803,0.05412847548723221,0.18679411709308624,0.18698906898498535,21.767887115478516,22.435710906982422,22.770389556884766,22.871410369873047,71.70310974121094,78.10458374023438,81.31266021728516,82.281005859375,26.0,36.0,0.0010581915266811848,1:05:076,0.31522858142852783,0.0,-168.0,neutral
1.0,0.0,7622,0.0,241.79315185546875,0.3917866051197052,0.0032151120249181986,0.08162307739257812,0.055229976773262024,0.049109794199466705,0.19766207039356232,0.19637444615364075,21.767925262451172,22.4400634765625,22.773193359375,22.874614715576172,71.70342254638672,78.14627075195312,81.33949279785156,82.31166076660156,26.0,36.0,0.0006593131693080068,1:05:175,0.31649670004844666,0.0,-168.0,neutral
1.0,0.0,7651,0.0,243.0699005126953,0.37060070037841797,0.0033744440879672766,0.048516880720853806,0.057772256433963776,0.05108534172177315,0.1884768307209015,0.18735340237617493,21.767719268798828,22.444141387939453,22.77593994140625,22.877716064453125,71.70145416259766,78.18533325195312,81.3658447265625,82.34142303466797,26.0,36.0,0.0010467800311744213,1:05:277,0.3178102374076843,0.0,-168.0,neutral
1.0,0.0,7699,0.0,244.33631896972656,0.3648267686367035,0.0031773748341947794,0.07447146624326706,0.059907399117946625,0.05368216708302498,0.19627273082733154,0.19371558725833893,21.76744842529297,22.44820785522461,22.778491973876953,22.88062286376953,71.69883728027344,78.22431945800781,81.39028930664062,82.3692855834961,26.0,36.0,0.0008366930996999145,1:05:376,0.3190922737121582,0.0,-168.0,neutral
1.0,0.0,7748,0.0,245.58364868164062,0.34772181510925293,0.007684221491217613,-0.11992456763982773,0.05809685215353966,0.052634347230196,0.20790529251098633,0.20565757155418396,21.767223358154297,22.45208740234375,22.781192779541016,22.883686065673828,71.69670867919922,78.26148986816406,81.41620635986328,82.39863586425781,26.0,36.0,0.0013627773150801659,1:05:475,0.3203831911087036,0.0,-168.0,neutral
1.0,0.0,7771,0.0,246.80296325683594,0.3853350281715393,0.00821701344102621,0.08450464904308319,0.058656252920627594,0.052813105285167694,0.19203993678092957,0.1893744170665741,21.766891479492188,22.455650329589844,22.7835693359375,22.886394500732422,71.69349670410156,78.29569244384766,81.43900299072266,82.42462158203125,26.0,36.0,0.001987667754292488,1:05:577,0.32171574234962463,0.0,-168.0,neutral
1.0,0.0,7814,0.0,248.02267456054688,0.35997533798217773,0.012094145640730858,0.1061219722032547,0.056593380868434906,0.05186202749609947,0.19590111076831818,0.19411087036132812,21.766799926757812,22.459667205810547,22.786334991455078,22.88945770263672,71.69258880615234,78.33413696289062,81.4654769897461,82.45396423339844,26.0,36.0,0.0017256560968235135,1:05:676,0.32301774621009827,0.0,-168.0,neutral
1.0,0.0,7868,0.0,249.1730194091797,0.342118501663208,0.011906170286238194,-0.04858747869729996,0.05791063606739044,0.05378633737564087,0.21538840234279633,0.2140587866306305,21.766565322875977,22.46341896057129,22.788976669311523,22.892362594604492,71.6903305053711,78.3700942993164,81.4907455444336,82.48177337646484,26.0,36.0,0.00143993622623384,1:05:775,0.3243227005004883,0.0,-168.0,neutral
1.0,0.0,7914,0.0,250.35476684570312,0.30148008465766907,0.012820095755159855,-0.08380494266748428,0.05920784920454025,0.05589944124221802,0.2259163111448288,0.22405898571014404,21.766284942626953,22.467105865478516,22.7916259765625,22.895301818847656,71.68765258789062,78.40543365478516,81.51614379882812,82.50992584228516,26.0,36.0,0.0013739668065682054,1:05:877,0.32567474246025085,0.0,-168.0,neutral
1.0,0.0,7939,0.0,251.50799560546875,0.29334303736686707,0.013317533768713474,0.016483530402183533,0.057859864085912704,0.05401918292045593,0.21353602409362793,0.21142223477363586,21.766210556030273,22.470727920532227,22.79429054260254,22.898256301879883,71.68693542480469,78.44013214111328,81.54167175292969,82.53823852539062,26.0,36.0,0.001810384332202375,1:05:976,0.32699063420295715,0.0,-168.0,neutral
